S.N.,E,Gam,phi,C,Neu,dil,ExDep,Bfill,Plthk,FAng,Inc,Sp,Len,FOS,Dis
216,8000,19.5,26.0,5.0,0.3,0.0,6.0,0,200,10.0,15,0.9,0.8,0.0,-0.037
217,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.5,1.2,2.53,-0.037
218,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.5,1.0,2.35,-0.039
219,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.5,0.8,2.182,-0.042
220,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.7,1.2,2.401,-0.041
221,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.7,1.0,2.218,-0.042
222,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.7,0.8,2.023,-0.045
223,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.9,1.2,2.188,-0.042
224,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.9,1.0,2.053,-0.044
225,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,5.0,15,0.9,0.8,1.844,-0.049
226,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.5,1.2,2.619,-0.03
227,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.5,1.0,2.44,-0.031
228,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.5,0.8,2.247,-0.033
229,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.7,1.2,2.495,-0.031
230,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.7,1.0,2.329,-0.034
231,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.7,0.8,2.134,-0.036
232,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.9,1.2,2.333,-0.033
233,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.9,1.0,2.164,-0.035
234,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,100,10.0,15,0.9,0.8,1.969,-0.036
235,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.5,1.2,2.524,-0.037
236,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.5,1.0,2.362,-0.04
237,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.5,0.8,2.192,-0.043
238,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.7,1.2,2.391,-0.041
239,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.7,1.0,2.207,-0.042
240,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.7,0.8,2.04,-0.046
241,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.9,1.2,2.235,-0.043
242,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.9,1.0,2.066,-0.046
243,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,5.0,15,0.9,0.8,1.843,-0.051
244,8000,19.5,30.0,25.0,0.35,0.0,6.0,0,200,10.0,15,0.5,1.2,2.607,-0.03
